English	Japanese
About Us	私たちについて
Send	送る
Contact Us	お問い合わせ
Todays Rate	今日のレート
The Secure easiest and fastest way to transfer money.	お金を送るための最も安全で簡単で速い方法
Send and receive money to your loved ones in minutes with great rates and low fees.	素晴らしいレートと低料金で数分で大切な人々に送金および受け取りができます。
Send Money	お金を送る
You Send	あなたが送る
Recipient Gets	受取人が受け取ります
Our Services	私たちのサービス
What you can do with RPS	RPSでできること
Instant Cash Pick up	即座の現金受け取り
Account Deposit	口座入金
Wallet Deposit	ウォレットへの入金
More About RPS Services	RPSサービスについて詳しく
Why Choose Us?	なぜ私たちを選ぶのか？
24*7 Available	24時間、7日間対応可能 
Choose us for remittance because we offer round-the-clock availability to cater to your transaction needs anytime.	私たちを選んで送金を行っていただく理由は、いつでもお客様の取引ニーズに対応できる24時間対応を提供しているからです。
Faster Payment	迅速な支払い 
Experience quicker payments by choosing our service, ensuring your funds reach their destination swiftly.	私たちのサービスを選んでいただくことで、より迅速な支払いを体験し、お金が迅速に目的地に届くことを確認できます。 
Lower fee & better exchange rate	低い手数料とより良い為替レート 
Opt for us to benefit from lower fees and improved exchange rates, maximizing the value of your transfers.	私たちを選ぶことで、手数料が低く、為替レートが向上し、送金の価値を最大限に引き出すことができます。
Faster Payment	迅速な支払い 
Experience quicker payments by choosing our service, ensuring your funds reach their destination swiftly.	私たちのサービスを選ぶことで、支払いが迅速になり、資金が素早く目的地に届く体験をしてください。 
100% secure	100％安全
Your security is our top priority - we guarantee 100% secure transactions for your peace of mind.	あなたの安全を最優先に考えており、心の安心のために100％安全な取引を保証します。
Realtime traceable	リアルタイムで追跡可能 
Enjoy the advantage of real-time traceability with our system, providing transparency throughout your transaction journey.	私たちのシステムでリアルタイムの追跡が可能で、取引の過程全体で透明性を提供します。
RPS points	RPSポイント
Our Remittance Partner Satisfaction (RPS) points towards our proven track record of reliability and customer satisfaction.	当社の送金パートナー満足度（RPS）は、信頼性とお客様満足度の実績を指し示しています。
Get the APP	アプリを入手してください 
Download our app for the fastest, most convenient way to send & get Payment.	支払いを送受信するための最速で最も便利な方法は、当社のアプリをダウンロードしてください。
Frequently Asked Questions	よくある質問 
View More	もっと見る
RPS ASSOCIATED PARTNERS	RPS 関連パートナー
FAQ	よくある質問 
Pages	ページ
Services	サービス
Keep In Touch	連絡を取り合いましょう 
Head Office	本社
Subscribe	購読する
Subscribe for latest news and updates.	最新ニュースとアップデートを購読してください。